2015-12-28 06:30:01 status unpacked libgcrypt20:amd64 1.6.3-2
2015-12-28 06:30:01 status unpacked libgcrypt20:amd64 1.6.3-2
2015-12-28 06:30:01 install libgpg-error0:amd64 <none> 1.17-3
2015-12-28 06:30:01 status half-installed libgpg-error0:amd64 1.17-3
2015-12-28 06:30:01 status unpacked libgpg-error0:amd64 1.17-3
2015-12-28 06:30:01 status unpacked libgpg-error0:amd64 1.17-3
2015-12-28 06:30:01 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2015-12-28 06:30:01 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-28 06:30:02 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-28 06:30:02 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-28 06:30:02 install libselinux1:amd64 <none> 2.3-2
2015-12-28 06:30:02 status half-installed libselinux1:amd64 2.3-2
2015-12-28 06:30:02 status unpacked libselinux1:amd64 2.3-2
2015-12-28 06:30:02 status unpacked libselinux1:amd64 2.3-2
2015-12-28 06:30:02 install libsemanage-common:all <none> 2.3-1
2015-12-28 06:30:02 status half-installed libsemanage-common:all 2.3-1
2015-12-28 06:30:02 status unpacked libsemanage-common:all 2.3-1
2015-12-28 06:30:02 status unpacked libsemanage-common:all 2.3-1
2015-12-28 06:30:02 install libsemanage1:amd64 <none> 2.3-1+b1
2015-12-28 06:30:02 status half-installed libsemanage1:amd64 2.3-1+b1
2015-12-28 06:30:02 status unpacked libsemanage1:amd64 2.3-1+b1
2015-12-28 06:30:02 status unpacked libsemanage1:amd64 2.3-1+b1
2015-12-28 06:30:02 install libsepol1:amd64 <none> 2.3-2
2015-12-28 06:30:02 status half-installed libsepol1:amd64 2.3-2
2015-12-28 06:30:03 status unpacked libsepol1:amd64 2.3-2
2015-12-28 06:30:03 status unpacked libsepol1:amd64 2.3-2
2015-12-28 06:30:03 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2015-12-28 06:30:03 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-28 06:30:03 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-28 06:30:03 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-28 06:30:03 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2015-12-28 06:30:03 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2015-12-28 06:30:03 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2015-12-28 06:30:03 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2015-12-28 06:30:03 install libtext-wrapi18n-perl:all <none> 0.06-7
2015-12-28 06:30:03 status half-installed libtext-wrapi18n-perl:all 0.06-7
2015-12-28 06:30:03 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-28 06:30:03 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-28 06:30:03 install lsb-base:all <none> 4.1+Debian13+nmu1
2015-12-28 06:30:03 status half-installed lsb-base:all 4.1+Debian13+nmu1
2015-12-28 06:30:03 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-28 06:30:03 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-28 06:30:03 install dmsetup:amd64 <none> 2:1.02.90-2.2
2015-12-28 06:30:03 status half-installed dmsetup:amd64 2:1.02.90-2.2
2015-12-28 06:30:03 status unpacked dmsetup:amd64 2:1.02.90-2.2
2015-12-28 06:30:03 status unpacked dmsetup:amd64 2:1.02.90-2.2
2015-12-28 06:30:04 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2
2015-12-28 06:30:04 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-28 06:30:04 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-28 06:30:04 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-28 06:30:04 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2015-12-28 06:30:04 status half-configured mawk:amd64 1.3.3-17
2015-12-28 06:30:04 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:30:04 status half-installed mawk:amd64 1.3.3-17
2015-12-28 06:30:04 status half-installed mawk:amd64 1.3.3-17
2015-12-28 06:30:04 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:30:04 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:30:04 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2015-12-28 06:30:04 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:04 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:04 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:04 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2015-12-28 06:30:04 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:04 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:04 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2015-12-28 06:30:05 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2015-12-28 06:30:05 install ncurses-base:all <none> 5.9+20140913-1
2015-12-28 06:30:05 status half-installed ncurses-base:all 5.9+20140913-1
2015-12-28 06:30:05 status unpacked ncurses-base:all 5.9+20140913-1
2015-12-28 06:30:05 status unpacked ncurses-base:all 5.9+20140913-1
2015-12-28 06:30:05 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
